"state","date","fips","cases","deaths","total_population","pop_age_65","pop_age_75","pop_age_85","pop_age_75_plus","pop_age_65_plus","poverty_65_plus","poverty_some_college","poverty_bachelor","percent_in_poverty","population_in_poverty","poverty_higher_edu","edu_assoc_under_24","edu_bachelor_under_24","edu_nodegree_over_25","edu_assoc_over_25","edu_bachelor_over_25","edu_bachelor_over_65","edu_hs_under_24","edu_hs_over_25","edu_higher_edu_18_plus","edu_higher_edu_25_plus","edu_hs_18_plus","edu_hs_or_higher_18_plus","edu_hs_or_higher_25_plus","total_housing_units","less_than_1person_room","more_than_1person_room","more_than_1.5person_room","one_plus_person_room","total_households","with_computer","wo_computer","with_internet","wo_internet","wo_computer_pct","wo_internet_pct","landarea","casesperlakh","deathsperlakh","pop_den","log_pop_den","house_per_capita","hs_edu_18_plus_percent","hs_edu_25_plus_percent","hs_or_higher_18_plus_percent","hs_or_higher_25_plus_percent","higher_edu_18_plus_per_capita","higher_edu_25_plus_per_capita","pct_age_65_plus","pct_age_75_plus","pct_age_85_plus"
"Hawaii",2021-03-26,15,29322,456,1415872,153238,78564,37668,116232,269470,23033,21706,13116,9.3,1379078,34822,48997,9786,205964,106096,335209,85559,51471,273421,706052,647269,324892,1030944,920690,550328,425553,22772,16974,39746,465299,432658,32641,410299,55000,0.070150591340192,0.118203563729989,6423,2070.94991637662,32.2063011345658,220.437801650319,2.34328607130691,0.388684852868056,0.229464245355512,0.193111382949871,0.728133616598111,0.650263583148759,0.498669371242598,0.457152200198888,0.190320876463409,0.0820921665235275,0.0266040998056321
"Idaho",2021-03-26,16,179313,1957,1787065,174120,86347,28150,114497,288617,19511,35925,12594,11.2,1753946,48519,71369,12857,304578,124584,336655,80885,62538,305274,850043,765817,367812,1217855,1071091,751113,637259,14113,4487,18600,655859,620888,34971,582464,73395,0.0533209119643094,0.11190667506278,82643,10033.9383290479,109.50916726588,21.6239124910761,1.33493427516571,0.420305361024921,0.205819038479294,0.170824228553522,0.681483326012204,0.599357605906892,0.47566428753291,0.42853337735337,0.161503358859359,0.0640698575597418,0.0157520851228131
"Illinois",2021-03-26,17,1236528,23472,12671821,1182015,609326,254020,863346,2045361,170042,216429,119577,11.5,12373209,336006,512846,171311,1737416,710058,3108972,562900,342491,2255611,6240603,5556446,2598102,8838705,7812057,5388210,4755298,77456,33252,110708,4866006,4487080,378926,4192520,673486,0.0778720782506228,0.138406323378968,55519,9758.09238466989,185.229889216396,228.24296186891,2.35839739444896,0.425211972296641,0.205029884812925,0.17800211982161,0.697508669038175,0.61649047915055,0.492478784225251,0.438488359328939,0.161410187217765,0.068131170729132,0.0200460533651793
"Indiana",2021-03-26,18,685382,13002,6732219,637375,319196,127901,447097,1084472,80303,106562,49513,11.9,6517430,156075,262282,71209,896654,397627,1212826,235394,235436,1526825,2840598,2507107,1762261,4602859,4033932,2921115,2558737,29341,9687,39028,2597765,2367468,230297,2187463,410302,0.0886519758330719,0.157944232830914,35826,10180.6254371701,193.130972120782,187.914335957126,2.27395991362674,0.433900768825257,0.261765251546333,0.226793721356955,0.683706070762107,0.599197976179919,0.421940819215774,0.372404254822964,0.161086857097192,0.0664115353347834,0.0189983421513768
"Iowa",2021-03-26,19,349055,5716,3155070,311643,165190,76742,241932,553575,39327,55724,25135,11.2,3058938,80859,155502,31429,433870,251578,622253,130485,91070,658822,1494632,1307701,749892,2244524,1966523,1418600,1263905,17045,6271,23316,1287221,1176030,111191,1086816,200405,0.0863806603528065,0.155688106393541,55857,11063.3044591721,181.168722088575,56.4847736183468,1.75193139251438,0.449625523363982,0.23767840333178,0.208813750566548,0.711402282675186,0.623289816073811,0.473723879343406,0.414476065507263,0.175455695119284,0.0766803906094001,0.0243233906062306
"Kansas",2021-03-26,20,303710,4891,2913314,274666,140129,63201,203330,477996,33350,51770,20460,11.4,2826818,72230,137231,31534,430549,173251,652489,143932,92290,504035,1425054,1256289,596325,2021379,1760324,1288430,1116358,15028,6943,21971,1138329,1057634,80695,972685,165644,0.0708889960635282,0.145515048812777,81759,10424.8975565284,167.884409301572,35.6329456084345,1.55185172492223,0.442255795290175,0.204689573454835,0.173010873527536,0.693841789796774,0.604234215741935,0.489152216341939,0.431223342214399,0.164072942360487,0.0697933693381489,0.0216938510575928
"Kentucky",2021-03-26,21,427650,6041,4467673,454932,222988,76639,299627,754559,85199,90770,30789,16.3,4326675,121559,171776,40426,619035,260188,765923,156737,154324,1012643,1857348,1645146,1166967,3024315,2657789,2006335,1711420,26883,10429,37312,1748732,1576667,172065,1458035,290697,0.098394150733217,0.166233019124714,39486,9572.09715214162,135.215804737724,113.145747860001,2.05363823733947,0.449078300941004,0.261202420141313,0.226660053231291,0.67693293578111,0.594893359473713,0.415730515639797,0.368233306242422,0.168893068046833,0.0670655618707994,0.0171541202769316
"Louisiana",2021-03-26,22,443069,10087,4648794,446721,220113,75360,295473,742194,95736,103928,40577,19,4515876,144505,172021,36144,646746,202310,784275,168430,148611,1066026,1841496,1633331,1214637,3056133,2699357,2089824,1700595,32004,8477,40481,1741076,1556201,184875,1405495,335581,0.106184336582665,0.192743452899242,43204,9530.83746021011,216.981006256676,107.601009165818,2.03181634450036,0.449541106790277,0.261280022302558,0.229312376500228,0.657403403979613,0.580657478046995,0.396123381677054,0.351345101546767,0.159653019686396,0.0635590649962119,0.016210655924956
"Maine",2021-03-26,23,49443,731,1344212,169556,81769,34653,116422,285978,23542,25479,13458,10.9,1304100,38937,44531,13681,184723,99008,328999,91402,36951,311108,670942,612730,348059,1019001,923838,750964,564971,4560,4087,8647,573618,528336,45282,489684,83934,0.0789410374151439,0.146323860129912,30843,3678.21444831619,54.3813029492372,43.5824011931394,1.63931115423062,0.558664853460615,0.258931626856478,0.231442659342425,0.758065692018818,0.687271055458514,0.49913406516234,0.455828396116089,0.212747691584363,0.0866098502319575,0.0257794157469209
"Maryland",2021-03-26,24,405528,8232,6045680,564533,281807,113547,395354,959887,73398,77280,53933,9,5898360,131213,219949,84975,753547,287293,1710230,342229,161982,1030636,3055994,2751070,1192618,4248612,3781706,2470307,2174389,35353,17025,52378,2226767,2099142,127625,1986802,239965,0.0573140342029498,0.107763856748371,9707,6707.73180188167,136.163343081341,622.816524157824,2.7943601264641,0.40860697225126,0.197267801140649,0.17047478530124,0.702751716928451,0.625522025644758,0.505483915787802,0.455047240343518,0.15877237961652,0.06539446348467,0.0187815101030819
